phase,nist,lambda,q_log,hash,ext_e,air,ldt,k,b,r,prove_ms,verify_ms,proof_kib,n_trace,threads,note
1,1,128,40,sha3-256,6,ecdsa,stir,2,4,128,816,0.44,92.8,8,10,
1,1,128,40,sha3-256,6,ecdsa,stir,2,8,86,1627,0.42,105.8,8,10,
1,1,128,40,sha3-256,6,ecdsa,stir,2,16,64,3438,0.33,81.1,8,10,
1,1,128,40,sha3-256,6,ecdsa,stir,4,8,86,1539,0.38,69.5,8,10,
1,1,128,40,sha3-256,6,ecdsa,stir,8,8,86,1542,0.50,53.7,8,10,
1,1,128,40,sha3-256,6,mldsa_v2,stir,2,4,128,3592,157.39,38893.8,NA,10,
1,1,128,40,sha3-256,6,mldsa_v2,stir,2,8,86,6987,114.25,26887.7,NA,10,
1,1,128,40,sha3-256,6,mldsa_v2,stir,2,16,64,12626,95.74,20840.6,NA,10,
1,1,128,40,sha3-256,6,mldsa_v2,stir,4,8,86,NA,NA,NA,NA,10,bench-error
1,1,128,40,sha3-256,6,mldsa_v2,stir,8,4,128,NA,NA,NA,NA,10,bench-error
1,1,128,40,sha3-256,6,mldsa_v2,stir,16,8,86,NA,NA,NA,NA,10,bench-error
1,1,128,40,sha3-256,6,mldsa_v2,fri,4,8,43,NA,NA,NA,NA,10,bench-error
1,1,128,40,sha3-256,6,mldsa_v2,fri,8,4,64,NA,NA,NA,NA,10,bench-error
1,1,128,40,sha3-256,6,mldsa_v2,fri,16,8,43,NA,NA,NA,NA,10,bench-error
1,1,128,65,sha3-384,6,ecdsa,stir,2,4,128,840,0.61,134.9,8,10,
1,1,128,65,sha3-384,6,ecdsa,stir,2,8,86,1597,0.56,155.6,8,10,
1,1,128,65,sha3-384,6,ecdsa,stir,2,16,64,3684,0.45,119.2,8,10,
1,1,128,65,sha3-384,6,ecdsa,stir,4,8,86,1587,0.48,100.5,8,10,
1,1,128,65,sha3-384,6,ecdsa,stir,8,8,86,1577,0.60,75.3,8,10,
1,1,128,65,sha3-384,6,mldsa_v2,stir,2,4,128,3927,299.45,66507.8,NA,10,
1,1,128,65,sha3-384,6,mldsa_v2,stir,2,8,86,7621,211.15,45744.0,NA,10,
1,1,128,65,sha3-384,6,mldsa_v2,stir,2,16,64,13750,170.12,35931.0,NA,10,
1,1,128,65,sha3-384,6,mldsa_v2,stir,4,8,86,NA,NA,NA,NA,10,bench-error
1,1,128,65,sha3-384,6,mldsa_v2,stir,8,4,128,NA,NA,NA,NA,10,bench-error
1,1,128,65,sha3-384,6,mldsa_v2,stir,16,8,86,NA,NA,NA,NA,10,bench-error
1,1,128,65,sha3-384,6,mldsa_v2,fri,4,8,43,NA,NA,NA,NA,10,bench-error
1,1,128,65,sha3-384,6,mldsa_v2,fri,8,4,64,NA,NA,NA,NA,10,bench-error
